trip_id,arrival_time,departure_time,stop_id,stop_sequence
Shuttle6_0_58,15:04:00,15:04:00,ShinTakaokaEki3,5
Shuttle6_0_59,15:06:00,15:06:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_59,15:07:00,15:07:00,Ekinan0,1
Shuttle6_0_59,15:07:00,15:07:00,ZuiryujiGuchi0,2
Shuttle6_0_59,15:10:00,15:10:00,Kyoden0,3
Shuttle6_0_59,15:10:00,15:10:00,AeonMallGuchi0,4
Shuttle6_0_59,15:14:00,15:14:00,ShinTakaokaEki3,5
Shuttle6_0_60,15:16:00,15:16:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_60,15:17:00,15:17:00,Ekinan0,1
Shuttle6_0_60,15:17:00,15:17:00,ZuiryujiGuchi0,2
Shuttle6_0_60,15:20:00,15:20:00,Kyoden0,3
Shuttle6_0_60,15:20:00,15:20:00,AeonMallGuchi0,4
Shuttle6_0_60,15:24:00,15:24:00,ShinTakaokaEki3,5
Shuttle6_0_61,15:26:00,15:26:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_61,15:27:00,15:27:00,Ekinan0,1
Shuttle6_0_61,15:27:00,15:27:00,ZuiryujiGuchi0,2
Shuttle6_0_61,15:30:00,15:30:00,Kyoden0,3
Shuttle6_0_61,15:30:00,15:30:00,AeonMallGuchi0,4
Shuttle6_0_61,15:34:00,15:34:00,ShinTakaokaEki3,5
Shuttle6_0_62,15:36:00,15:36:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_62,15:37:00,15:37:00,Ekinan0,1
Shuttle6_0_62,15:37:00,15:37:00,ZuiryujiGuchi0,2
Shuttle6_0_62,15:40:00,15:40:00,Kyoden0,3
Shuttle6_0_62,15:40:00,15:40:00,AeonMallGuchi0,4
Shuttle6_0_62,15:44:00,15:44:00,ShinTakaokaEki3,5
Shuttle6_0_63,15:46:00,15:46:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_63,15:47:00,15:47:00,Ekinan0,1
Shuttle6_0_63,15:47:00,15:47:00,ZuiryujiGuchi0,2
Shuttle6_0_63,15:49:00,15:49:00,Kyoden0,3
Shuttle6_0_63,15:51:00,15:51:00,AeonMallGuchi0,4
Shuttle6_0_63,15:54:00,15:54:00,ShinTakaokaEki3,5
Shuttle6_0_64,15:56:00,15:56:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_64,15:57:00,15:57:00,Ekinan0,1
Shuttle6_0_64,15:57:00,15:57:00,ZuiryujiGuchi0,2
